,LocRfc_A,LocRfc_D,amc_A,amc_D,avg_cc_A,avg_cc_D,ca_A,ca_D,cam_A,cam_D,cbm_A,cbm_D,cbo_A,cbo_D,ce_A,ce_D,dam_A,dam_D,dit_A,dit_D,ic_A,ic_D,lcom3_A,lcom3_D,lcom_A,lcom_D,loc_A,loc_D,max_cc_A,max_cc_D,mfa_A,mfa_D,moa_A,moa_D,noc_A,noc_D,npm_A,npm_D,rfc_A,rfc_D,wmc_A,wmc_D
ant-1.7,-0.260850112,0.260850112,-0.210559284,0.210559284,-0.199105145,0.199105145,-0.082147651,0.082147651,0.174944072,-0.174944072,-0.072214765,0.072214765,-0.193467562,0.193467562,-0.178702461,0.178702461,-0.092796421,0.092796421,-0.007248322,0.007248322,-0.073378076,0.073378076,0.010290828,-0.010290828,-0.214228188,0.214228188,-0.259955257,0.259955257,-0.21852349,0.21852349,0.028098434,-0.028098434,-0.153914989,0.153914989,-0.039910515,0.039910515,-0.178434004,0.178434004,-0.262013423,0.262013423,-0.208680089,0.208680089
ant-1.7,-0.248866316,0.248866316,-0.134681662,0.134681662,-0.11064756,0.11064756,-0.059949211,0.059949211,0.239615454,-0.239615454,-0.052512244,0.052512244,-0.179938328,0.179938328,-0.20188645,0.20188645,-0.059132958,0.059132958,-0.023943406,0.023943406,-0.057319064,0.057319064,0.028115364,-0.028115364,-0.214039543,0.214039543,-0.248140758,0.248140758,-0.161527299,0.161527299,0.04571014,-0.04571014,-0.132958462,0.132958462,-0.007799746,0.007799746,-0.214311627,0.214311627,-0.253219663,0.253219663,-0.237348086,0.237348086
ant-1.7,-0.251405768,0.251405768,-0.138581535,0.138581535,-0.118175222,0.118175222,-0.030836205,0.030836205,0.214402322,-0.214402322,-0.070288409,0.070288409,-0.20360965,0.20360965,-0.212679122,0.212679122,-0.061581716,0.061581716,-0.034010521,0.034010521,-0.073916198,0.073916198,-0.009432251,0.009432251,-0.237529476,0.237529476,-0.248503537,0.248503537,-0.171231634,0.171231634,0.035189552,-0.035189552,-0.151097406,0.151097406,-0.023671322,0.023671322,-0.205877018,0.205877018,-0.256938146,0.256938146,-0.242336296,0.242336296
ant-1.7,-0.242699075,0.242699075,-0.180663885,0.180663885,-0.186196263,0.186196263,-0.067023399,0.067023399,0.157990205,-0.157990205,-0.010701977,0.010701977,-0.121893706,0.121893706,-0.131507346,0.131507346,-0.009069472,0.009069472,0.027208416,-0.027208416,0.003809178,-0.003809178,-0.002992926,0.002992926,-0.160166878,0.160166878,-0.242426991,0.242426991,-0.201160892,0.201160892,0.088971522,-0.088971522,-0.127063305,0.127063305,-0.049972792,0.049972792,-0.152548522,0.152548522,-0.230818066,0.230818066,-0.18093597,0.18093597
ant-1.7,-0.227155727,0.227155727,-0.181742967,0.181742967,-0.140742784,0.140742784,-0.044493473,0.044493473,0.192682478,-0.192682478,-0.086137158,0.086137158,-0.173469388,0.173469388,-0.181375253,0.181375253,-0.10112153,0.10112153,-0.069681927,0.069681927,-0.082643868,0.082643868,0.010663725,-0.010663725,-0.18707483,0.18707483,-0.227339584,0.227339584,-0.172550101,0.172550101,-0.021235521,0.021235521,-0.14101857,0.14101857,-0.032910461,0.032910461,-0.16096709,0.16096709,-0.225684869,0.225684869,-0.201599559,0.201599559
ant-1.7,-0.255749441,0.255749441,-0.153199105,0.153199105,-0.140044743,0.140044743,-0.082595078,0.082595078,0.20885906,-0.20885906,-0.065055928,0.065055928,-0.188814318,0.188814318,-0.181387025,0.181387025,-0.058344519,0.058344519,-0.012348993,0.012348993,-0.069888143,0.069888143,0.012170022,-0.012170022,-0.226935123,0.226935123,-0.252885906,0.252885906,-0.192304251,0.192304251,0.039105145,-0.039105145,-0.154541387,0.154541387,-0.056375839,0.056375839,-0.2049217,0.2049217,-0.27114094,0.27114094,-0.227293065,0.227293065
ant-1.7,-0.253763831,0.253763831,-0.230908761,0.230908761,-0.141483766,0.141483766,-0.05858879,0.05858879,0.166334119,-0.166334119,-0.079992744,0.079992744,-0.155722837,0.155722837,-0.153546164,0.153546164,-0.055051696,0.055051696,-0.031108289,0.031108289,-0.060493379,0.060493379,-0.041719572,0.041719572,-0.188554326,0.188554326,-0.255124252,0.255124252,-0.171775803,0.171775803,0.016687829,-0.016687829,-0.124886632,0.124886632,-0.017957555,0.017957555,-0.174950118,0.174950118,-0.226192636,0.226192636,-0.168782877,0.168782877
ant-1.7,-0.245692001,0.245692001,-0.1546345,0.1546345,-0.158987847,0.158987847,-0.022129512,0.022129512,0.207962997,-0.207962997,-0.030745511,0.030745511,-0.159350626,0.159350626,-0.207600218,0.207600218,-0.02784328,0.02784328,-0.030654816,0.030654816,-0.02766189,0.02766189,-0.05051696,0.05051696,-0.206511881,0.206511881,-0.245419917,0.245419917,-0.206239797,0.206239797,0.040449846,-0.040449846,-0.099220025,0.099220025,-0.028750227,0.028750227,-0.158806457,0.158806457,-0.253310357,0.253310357,-0.216578995,0.216578995
ant-1.7,-0.2216579,0.2216579,-0.147288228,0.147288228,-0.134228188,0.134228188,-0.011790314,0.011790314,0.192726283,-0.192726283,-0.044984582,0.044984582,-0.137130419,0.137130419,-0.142844186,0.142844186,-0.061400327,0.061400327,0.003718484,-0.003718484,-0.045982224,0.045982224,0.021948123,-0.021948123,-0.214493017,0.214493017,-0.22301832,0.22301832,-0.159713405,0.159713405,0.047614729,-0.047614729,-0.143660439,0.143660439,-0.019952839,0.019952839,-0.193905315,0.193905315,-0.211953564,0.211953564,-0.219481226,0.219481226
ant-1.7,-0.255102041,0.255102041,-0.175307961,0.175307961,-0.168137525,0.168137525,-0.113623828,0.113623828,0.195256481,-0.195256481,-0.07289943,0.07289943,-0.225317154,0.225317154,-0.225501011,0.225501011,-0.123460195,0.123460195,-0.043390329,0.043390329,-0.083747012,0.083747012,0.08393087,-0.08393087,-0.1712631,0.1712631,-0.253539254,0.253539254,-0.183857327,0.183857327,0.036127965,-0.036127965,-0.180915609,0.180915609,-0.036495679,0.036495679,-0.17815775,0.17815775,-0.26548998,0.26548998,-0.236164736,0.236164736
