,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
EALR,7,3,1.365369371,13,1,1.34286473,6,3,2.612988251,3,5,0.416373963,3,4,4.707192296,8,5,2.920757887,6,1,0.160189816,4,2,2.323262993,17,4,1.606738821,2,0,3.814090795,1,1,4.061484701,19,4,1.43589507,14,1,3.851964457,3,2,4.180439635,3,1,3.343546813
EALR,9,6,4.905565785,5,2,2.016502557,16,2,2.484218824,6,3,1.52665132,17,3,0.622837165,5,4,2.879341958,15,2,3.784227447,1,4,3.524606815,8,5,3.959398333,14,2,2.929372784,7,5,4.723101935,7,0,3.700044968,13,2,0.365555459,11,5,2.863390792,16,5,3.723837532
EALR,20,4,2.340500087,5,5,1.114392408,19,5,3.616648825,10,5,1.763748831,16,2,1.51705042,1,0,4.402867442,5,2,3.631700029,19,0,3.735495597,3,6,2.753553838,14,2,3.793471292,4,4,3.874906636,4,5,3.648539948,17,3,2.927420348,7,6,0.295832945,1,5,4.810665897
EALR,15,3,2.969705917,15,2,0.653226079,11,5,3.830064716,10,3,3.431633766,15,6,0.388568577,14,2,2.686658323,13,0,3.02238642,11,2,1.074168168,4,2,4.240547084,12,6,4.967138807,5,3,0.312191784,16,5,2.072518866,3,6,1.450131464,16,1,3.291642323,19,5,4.736356757
EALR,12,4,2.46378734,16,4,2.234483858,12,5,3.806799372,12,4,4.644648791,16,2,1.067105677,1,3,3.223140957,14,2,4.349928882,6,4,3.776723401,12,4,0.561937761,14,3,0.315848212,11,5,4.147659616,1,6,0.916987867,4,4,2.005659124,10,6,3.047826276,11,2,0.93125011
EALR,15,6,3.472808177,15,4,1.88450391,1,3,4.30263042,12,2,1.420956878,9,1,0.530203046,12,1,4.916188832,6,4,1.574031782,13,2,0.925968793,9,4,1.754222301,8,5,0.128254765,14,1,4.784654453,14,2,1.016763436,18,5,2.214465424,16,6,2.25260751,4,4,0.56072922
EALR,16,5,0.92864502,19,4,3.81661989,2,4,1.643614653,13,3,4.247656165,17,5,4.552689698,6,6,3.7372573,11,1,0.314867203,17,1,4.565170672,20,5,2.385231582,7,1,2.475668718,15,2,3.758640419,20,6,0.883285706,13,3,2.31634108,12,2,3.558789863,12,4,2.924923213
EALR,15,6,0.871827312,9,3,4.037166346,16,0,1.589590048,3,3,0.428418289,8,6,1.967777064,15,4,2.24655794,8,6,3.671127887,14,0,1.785983559,6,3,0.942763058,4,6,0.552732999,14,3,3.995592767,4,1,1.236673482,4,4,0.572341413,15,0,2.061106615,16,6,4.336882443
BRR,2,4,4.110123911,16,2,3.702369531,8,1,1.250667696,13,3,1.190135297,2,5,3.496952623,2,1,0.798653271,17,4,2.962507286,3,0,3.572217073,9,3,1.501103532,18,1,1.679368628,15,0,2.324757095,10,0,2.300207796,18,2,3.363861758,20,6,2.838191869,20,3,4.824571018
BRR,16,0,1.58642912,4,3,1.989384523,2,4,1.446078047,11,2,0.857378073,1,5,2.468241957,6,2,2.921851155,17,1,0.587861046,2,6,3.834200007,1,4,0.481382561,16,2,2.929736385,18,2,2.913361914,19,2,2.959786844,12,3,0.322795382,2,3,3.972526596,2,4,3.106846404
BRR,12,3,1.63055347,15,3,1.321942515,11,1,1.804493733,4,4,4.444411511,11,5,2.626805151,4,1,2.935810113,6,3,4.263253801,4,5,2.064592619,12,2,3.707498521,17,3,3.765258304,7,3,1.740614824,11,4,4.578374371,18,2,2.316358762,12,1,2.811009248,1,5,0.24489393
BRR,19,1,3.05363455,10,4,3.644273867,8,1,2.845869379,12,6,0.539661976,2,6,3.509783471,4,3,1.501132128,5,0,3.631713394,4,2,4.121380604,2,4,0.709902285,4,2,4.06275405,1,2,3.958838383,11,0,1.21770489,13,3,1.8807086,16,5,0.659059504,9,2,0.743611554
BRR,16,2,4.125047358,10,1,4.582892018,19,3,0.687799328,2,4,3.324661127,6,6,3.842454797,20,2,2.430690456,16,0,1.513143161,11,2,4.419086323,3,5,1.37720723,7,6,1.44314294,1,6,2.418357159,7,3,3.193562013,8,2,3.419773098,1,2,2.184365177,11,3,3.977133119
BRR,17,0,1.059722721,5,4,3.310626551,18,0,2.338968887,20,4,2.07073813,12,1,2.741000441,8,4,1.023722821,7,1,0.46477474,12,4,0.58046738,14,6,2.345486631,13,5,0.711514716,7,6,2.839069544,15,3,0.68044662,12,3,1.410726354,18,5,0.99887327,8,4,0.372052033
BRR,8,2,3.09313119,4,1,4.701836647,6,1,2.574410362,20,6,0.445971192,18,2,2.839704975,1,3,0.943017343,14,1,4.483022614,1,6,1.849739209,17,4,3.274896882,4,0,2.444300002,13,4,1.665345656,20,3,4.756310584,12,2,4.391549685,10,4,1.338022514,19,6,2.367849302
BRR,8,4,3.517150183,15,2,4.169952335,1,0,1.557062184,16,5,1.162040454,9,5,3.027405538,13,6,4.442797643,19,2,2.41774434,14,3,1.766904787,18,0,4.563217716,11,6,3.679473456,16,3,0.145938386,12,6,3.781574621,15,2,1.847702075,5,3,2.300824123,15,5,4.100059627
BRR,8,3,2.987190114,9,5,0.366553597,7,0,2.864074711,10,5,4.034757705,14,6,3.393692115,15,2,4.49872165,9,6,3.232125434,13,5,3.508415285,8,2,2.665064182,20,1,2.703303123,14,1,2.574166096,4,4,1.457763691,12,2,0.371499086,10,4,1.951696738,17,3,1.482864507
