,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
EALR,3,3,3.105801997,19,3,4.416357415,5,1,4.003767963,14,6,3.725029138,14,4,2.074074392,10,5,3.778313296,7,2,1.972885985,12,5,1.120714795,3,6,4.802724385,8,6,2.331218122,14,5,4.748922419,6,4,1.187331041,16,5,3.29818569,19,5,2.576510637,1,2,4.076490416
EALR,4,5,2.321073057,2,6,4.320072195,5,3,2.697875428,11,5,4.083218717,14,1,0.553102036,20,6,3.009734475,19,5,4.453214981,11,1,3.366086332,10,4,1.907623352,9,2,2.737586802,9,5,3.421652416,20,6,1.473356755,17,5,1.757510326,9,4,4.892904426,9,6,4.1697965
EALR,12,1,3.959820532,2,3,3.350784047,20,5,1.435754394,14,2,2.28381069,15,2,2.717282461,15,2,3.881130401,14,1,4.184325867,15,1,2.677467391,13,5,0.705079525,17,5,0.397486264,9,5,2.290726985,12,5,4.247794644,7,3,1.99650888,5,5,3.912835733,9,4,1.180553038
EALR,5,5,3.817455981,9,4,2.738763764,3,3,4.106269186,6,5,4.429176615,20,4,2.15220352,14,1,3.111953638,1,1,1.200959422,4,6,2.435053531,17,4,1.658067339,4,5,2.155035205,10,6,0.130193041,20,5,3.371319303,5,4,2.184508,6,4,0.985402243,17,2,3.155324663
EALR,3,2,0.436718906,14,4,2.377311255,5,6,3.894656257,5,6,0.49946538,4,6,3.357543541,1,1,0.905002651,3,6,4.790331355,1,1,4.284112142,20,1,4.403810088,3,4,1.789484827,13,5,2.02304957,20,5,1.314256203,7,6,2.993810232,14,3,1.669194063,6,6,1.743107422
EALR,17,1,0.591030711,18,2,2.118857811,1,5,4.017643636,6,0,0.841824622,4,3,3.928690531,11,2,2.695646527,12,1,2.06374044,7,3,1.722394917,10,2,4.940569185,20,6,3.972089113,3,1,1.485214278,15,4,4.886281974,20,5,0.334806989,6,6,1.680908634,6,5,3.96086994
EALR,12,2,1.143033592,11,2,2.665995993,4,3,4.946652112,11,1,4.674146706,20,3,2.457703679,3,6,3.766893913,12,2,2.993233278,4,3,2.982942165,20,5,3.333112402,10,6,1.762351021,16,2,2.733768312,14,4,0.384088979,3,2,3.847125045,1,4,2.455583733,12,6,1.607889985
EALR,14,3,3.309295229,9,6,3.38309093,8,3,0.933709888,13,2,0.955149391,6,3,1.845254281,3,5,1.359434887,15,5,0.735646121,18,1,0.655166713,19,6,3.54483737,8,6,4.158939524,5,4,4.141595413,15,4,4.570335633,18,6,3.570963031,18,5,2.908957791,6,6,2.80534654
BRR,16,1,2.625420817,17,1,1.1404777,7,1,3.180946329,1,5,1.462490584,8,3,4.565112302,2,6,4.199687339,12,1,4.976602419,15,3,1.234340638,13,5,3.789157545,14,5,3.298195643,7,3,4.402921385,10,1,4.698512758,19,4,2.230106907,1,3,1.440634807,10,2,0.489070581
BRR,19,1,1.923882204,10,5,0.335377858,9,4,0.753405161,11,4,4.607296338,5,5,4.642848558,14,2,1.401380111,2,1,1.140076934,5,5,4.872325335,12,1,3.719053191,4,1,0.62549652,8,3,0.723720566,4,3,2.941335232,6,5,3.330132724,18,2,4.061198618,18,5,4.003347922
BRR,6,4,3.281998765,8,3,1.683073365,13,1,2.046043645,16,0,0.306618938,10,6,1.335655626,18,5,0.664884023,12,5,1.888935661,13,2,2.465795641,12,0,2.805652485,16,4,3.938824128,19,0,4.571659012,3,0,0.2615201,5,3,4.620105583,15,4,2.393535881,7,3,1.136279139
BRR,17,3,1.712641433,15,6,4.194426925,12,1,4.688975551,7,6,4.509793145,12,0,3.117640443,3,0,1.825918844,12,2,3.002919106,10,3,4.4488248,2,4,4.459267068,8,5,0.714590142,7,4,3.482714466,5,2,1.238189254,3,1,2.969128448,19,3,3.457776031,15,3,4.312844737
BRR,16,4,1.901045391,4,2,0.963014551,8,0,2.206069911,16,4,2.989220302,8,4,2.83440082,16,3,4.529706229,1,0,1.866056028,19,2,1.573725694,17,4,3.194063632,6,5,2.022170198,12,4,0.829773595,18,3,3.278254417,12,5,0.468280474,13,2,1.312929284,10,6,1.585927248
BRR,19,1,3.145130045,11,3,1.853397571,7,3,0.475536986,7,2,3.162930666,7,3,2.165490886,7,3,2.10727663,9,1,1.862189262,17,0,2.774965566,11,1,0.834523216,6,6,2.526616536,11,3,1.880518856,12,2,2.300859268,13,1,1.379407776,18,6,4.49196559,3,4,1.080719108
BRR,19,4,3.417588467,15,2,2.46574759,19,0,0.12904063,8,6,2.653070026,8,3,1.5809331,8,4,3.024075503,18,0,2.602044123,6,1,1.93093915,10,4,0.905342293,16,2,0.92712316,1,5,3.358032802,15,2,0.547651596,12,4,4.110469281,14,0,3.050107245,10,2,1.641883927
BRR,3,1,1.78238572,19,6,3.381835737,19,3,0.683376393,8,4,2.609691365,16,5,2.995279701,18,1,1.670570681,10,3,3.638508071,20,4,2.818402187,12,1,3.755589509,2,5,2.869650149,11,6,4.772562949,10,1,1.897200841,20,3,1.523494585,8,5,2.89115928,17,4,2.264920665
BRR,1,2,4.557506527,11,3,1.580862961,18,0,1.875906115,13,4,1.833154674,13,6,1.612116651,18,1,3.64648821,20,3,2.277810593,17,1,4.155384375,3,1,3.67109975,4,1,3.525670294,15,1,3.207176831,7,4,0.495744714,14,1,3.64558552,1,2,4.311817675,14,5,2.207469579
BRR,5,6,2.85212319,5,2,4.167670783,15,1,1.40823255,3,3,4.834467339,1,3,4.414179798,6,4,1.462101939,15,5,1.905935783,14,2,1.73527945,14,6,2.90129161,14,1,4.449708534,7,5,3.522490277,20,5,0.649166147,7,2,0.185912769,10,4,1.912297435,5,2,0.413286961
BRR,7,3,0.193542268,8,2,3.262566141,18,2,3.837458281,20,6,3.337167955,18,4,1.83626878,2,2,2.729615906,12,1,0.894013063,20,2,2.176011837,8,0,3.744677168,20,1,4.186189706,9,5,1.330424301,17,3,4.96766027,11,4,3.202834463,15,5,2.925874336,4,1,3.371374576
BRR,16,1,0.409364127,3,1,4.142761241,15,2,3.586057803,18,2,1.435285965,3,4,2.934186376,7,4,2.713940123,3,0,2.043158497,4,1,3.146675938,2,2,1.548877754,4,1,2.337566996,13,3,2.290667894,15,5,2.961930487,12,1,1.444456143,18,4,1.957168261,20,6,3.850900296
BRR,6,6,3.970908014,4,6,2.970222392,6,3,2.408590375,1,5,2.608835944,20,0,1.595362458,2,6,2.61801072,6,0,3.134247725,13,1,2.530578361,9,6,2.938606622,4,2,4.6809455,12,0,0.388008115,17,4,2.583544642,19,4,2.311396014,13,6,0.848796956,10,6,3.272078856
BRR,11,3,1.046292666,2,4,2.948906073,12,2,2.458336971,20,6,4.939104466,1,2,2.952444311,16,5,0.782145654,5,0,4.03950395,18,3,4.681797302,14,0,1.030789143,16,2,4.63641795,2,6,0.186484435,12,3,0.973494804,11,2,3.884921731,6,2,3.932091872,11,2,0.455453787
BRR,12,5,0.821556515,8,2,3.320897573,17,3,2.500502532,19,6,2.219876696,18,5,1.763878907,15,0,1.83251491,16,4,0.668899986,15,5,4.644968809,5,3,3.909637771,8,4,2.350252804,5,6,1.93926384,10,0,0.323397183,20,1,1.293708447,12,3,2.029957732,9,4,0.55310523
BRR,18,5,1.135686303,7,1,1.342201052,3,4,1.888732982,20,6,2.20323065,14,6,3.848237535,16,3,4.433870202,14,1,0.240609673,17,2,4.7554752,16,1,0.771848268,20,1,1.96743145,17,4,3.165890972,13,0,2.660196591,7,2,0.765575392,18,2,2.176416146,20,3,3.823519336
BRR,18,0,1.952604084,19,0,3.88100463,9,0,2.529825936,15,5,0.602597835,12,0,2.734126852,13,0,1.874516559,9,0,0.321304055,16,4,4.450848091,7,4,2.038095769,2,4,2.176340299,7,6,4.995128142,1,4,3.21850118,12,1,1.086796354,13,2,1.982089681,11,4,2.558043422
BRR,5,2,1.952606174,10,4,2.1165258,7,2,3.449743116,16,2,3.176323395,16,6,3.565471175,12,3,1.583671342,18,0,1.026904899,3,0,0.206174985,15,3,3.070558928,5,2,3.357038744,9,6,0.897514507,12,2,0.593853665,19,2,3.47970528,17,1,1.897220476,1,4,2.748113178
BRR,15,4,2.845829979,17,4,4.52215095,10,1,3.700428361,20,6,0.727468378,10,3,1.8450199,5,5,4.057418201,7,1,3.269203319,9,4,4.663978374,8,1,1.174031974,11,6,4.878257353,14,6,0.58198359,19,5,1.559260244,8,4,2.994627537,16,3,3.991763049,18,2,1.273450439
BRR,13,3,2.948377666,20,6,0.119130662,15,3,1.864802107,18,1,1.949515296,12,5,0.710562961,10,2,3.038521092,3,0,0.826165532,19,1,0.92829664,18,4,2.105018217,19,5,3.763943241,12,1,3.866021639,17,5,1.302565215,11,3,4.201118573,18,4,0.202834289,6,5,4.280750441
BRR,2,1,1.789930172,20,2,0.137669183,17,1,0.415010897,7,2,4.834011416,1,4,2.630486938,8,1,3.26052764,10,0,3.802673017,11,6,3.765046876,2,6,0.382156602,13,6,4.017909659,12,3,4.453655027,6,3,2.976539399,10,6,3.044670268,8,5,3.407947246,18,4,3.829699923
BRR,13,4,2.530287108,18,4,2.284450038,6,5,2.075043519,15,2,1.476932474,14,4,4.322337337,7,5,2.81231432,18,5,1.742377689,1,2,4.799504978,14,2,4.115319793,2,3,0.681934229,20,3,3.526915391,1,3,0.801840789,6,4,3.199212111,12,4,1.495382829,4,5,2.241677499
BRR,20,5,1.759460068,14,1,2.348561081,9,1,3.048849626,1,6,0.724522266,4,6,4.978428812,15,4,1.361744395,2,0,3.407110077,5,0,1.623157878,18,4,2.73804421,5,2,0.359315166,11,5,4.922374787,9,5,1.751388004,8,4,4.153661886,9,6,4.843039999,7,1,2.324968537
BRR,5,3,2.624566208,6,5,1.089936113,11,1,1.662183727,10,3,1.187875353,4,1,1.187605471,6,3,3.624562562,15,5,0.480674694,13,6,2.865262115,12,5,1.761811392,16,6,0.970067792,5,6,1.581357742,10,0,0.111775313,15,2,2.252233433,2,2,1.199773532,13,6,2.046374534
BRR,10,2,3.185025771,14,1,2.477238108,16,1,2.77260145,16,4,1.85943895,11,6,1.932860105,19,3,3.680727447,14,3,4.171393673,3,3,1.856544814,9,3,1.352023795,11,4,1.394935359,17,2,3.910587794,14,6,3.965993569,19,0,4.490654622,7,6,3.88732965,12,1,2.032017375
DTR,10,2,2.453545916,5,2,0.577649819,9,4,2.534598735,13,3,4.303642279,14,5,4.131954135,18,2,3.060487004,8,2,2.838826419,15,3,2.612838895,16,1,4.092804242,8,3,4.26783879,2,6,4.257712586,18,6,1.513965404,8,4,1.827868082,12,0,2.962002419,3,2,4.080385
DTR,1,5,3.70137183,10,6,4.084616514,8,4,4.433314228,9,5,4.806977462,2,6,4.265030441,11,6,4.102737686,15,3,3.987035908,5,6,2.969538427,12,2,0.72788008,7,0,1.947072057,8,2,2.70345563,8,4,2.207254675,5,4,2.351263165,11,5,2.277855957,9,2,3.793444317
DTR,13,1,1.172991543,15,1,0.284849128,7,4,0.730253658,9,1,2.253071754,7,5,4.586232643,6,5,4.39083179,18,5,3.601169597,1,5,3.512209166,4,6,4.330711101,18,5,0.219334101,15,3,1.879916881,4,3,4.141004599,3,6,0.200953891,10,3,1.08189033,17,6,2.891230753
DTR,12,2,3.932635432,11,4,2.966578076,18,4,0.840777259,18,4,2.67216149,10,1,0.58173707,15,0,0.346654275,5,4,3.429152375,16,2,2.233190198,4,2,3.897542045,20,4,4.012621231,6,4,2.519456818,9,2,3.200204724,3,3,2.436672134,4,0,1.299094147,4,2,3.724859291
DTR,17,0,2.482632917,9,0,2.795202067,17,0,1.504639834,2,3,0.420506677,13,4,3.683203984,7,5,2.631494613,11,6,0.371587184,16,5,2.049226563,2,5,2.852354327,8,2,1.180760351,3,4,3.634222303,19,3,3.925983633,9,4,3.148804689,13,6,2.538907463,17,6,1.32261844
DTR,12,3,1.556013532,10,5,3.348761795,20,6,1.922059793,6,6,0.52314814,12,6,2.963225367,11,4,2.589721232,18,6,4.432088572,19,4,2.898753358,12,5,1.350371235,2,6,0.397837929,14,6,4.591116925,18,1,2.090503332,6,3,4.319664836,12,3,4.621402712,2,4,2.327552937
DTR,18,4,4.644457462,17,3,0.778926495,6,0,4.433089142,8,5,1.859677187,17,6,4.853436756,20,2,3.575803746,11,5,2.359698637,12,3,0.266343798,14,3,2.640828704,14,1,2.042763561,16,4,1.21043373,1,3,4.25525289,19,3,1.830980237,15,6,3.152495947,19,5,4.248460107
DTR,2,3,1.681244736,19,5,0.550052314,19,2,4.497055994,12,4,4.69219229,1,0,3.315119431,18,4,1.218702067,17,5,2.940725328,18,2,4.069608654,4,4,3.018299572,5,3,3.561019308,16,3,3.812553293,9,1,4.530332347,10,5,2.566392192,7,4,1.318395279,11,1,0.488533367
DTR,13,0,1.10911712,12,4,4.633809083,4,4,1.747281112,5,5,4.932399813,17,3,4.866404801,15,3,2.441059043,3,4,1.233039287,16,2,4.501491563,1,3,1.278204944,3,2,3.702504976,9,3,0.909750312,15,2,3.49005354,19,5,3.678242826,3,4,0.97379544,16,5,0.592962314
DTR,13,3,4.039666806,12,0,2.221528008,1,0,1.136982822,16,3,1.76333217,9,5,0.682469446,8,2,4.873541022,8,5,1.032053585,17,6,3.569479606,16,3,1.796426442,17,5,0.196682718,18,5,4.39802295,9,2,1.905748133,19,4,0.418145084,11,3,4.291740902,18,5,3.429371727
